genus,lemma
m,Eindruck
f,Reaktion
m,Beitrag
n,Konzept
f,Linie
m,Mund
m,Wunsch
m,Artikel
m,Gegensatz
n,Kapitel
f,Literatur
m,Rücken
f,Zelle
f,Aussage
m,Bürger
m,Himmel
m,Inhalt
f,Wand
f,Bibliothek
f,Farbe
m,Jugendliche
f,Jugendliche
n,Maß
m,Ansatz
m,Aspekt
n,Bein
f,Erinnerung
f,Kenntnis
m,Kurs
n,Papier
f,Sekunde
f,Sonne
m,Umstand
f,Wissenschaft
m,Garten
f,Küche
f,Wirklichkeit
m,Druck
n,Essen
f,Grundlage
m,Zustand
f,Hälfte
n,Meer
m,Dienst
m,Gegenstand
m,Plan
m,Zeitpunkt
m,Auftrag
m,Baum
f,Freude
f,Gemeinde
m,Hinweis
n,Netz
f,Position
m,Schluss
f,Bundesrepublik
f,Forschung
n,Glas
f,Haut
f,Praxis
m,Wald
m,Ausdruck
m,Finger
f,Freundin
m,Roman
f,Sicht
f,Theorie
f,Umwelt
m,Haushalt
m,Hund
f,Maschine
f,Nummer
m,Politiker
n,Team
m,Titel
m,Verein
n,Fernsehen
f,Schulter
f,Unterstützung
n,Zeichen
n,Material
f,Produktion
m,Rest
f,Ruhe
m,Schaden
m,Soldat
f,Sorge
f,Tatsache
f,Umgebung
n,Volk
m,Wagen
m,Wind
m,Zweck
m,Angriff
m,Antrag
m,Grad
n,Grad
m,Job
f,Öffentlichkeit
m,Schutz
m,Anteil
m,Beschäftigte
f,Beschäftigte
m,Besuch
f,Energie
f,Erklärung
m,Gang
m,Lauf
m,Unterricht
n,Zentrum
n,Amt
m,Anschlag
n,Ausland
f,Behandlung
f,Einrichtung
n,Feld
f,Hochschule
n,Hotel
n,Publikum
f,Studie
m,Vorsitzende
f,Vorsitzende
f,Analyse
f,Spur
m,Berg
f,Erkenntnis
m,Faktor
m,Fehler
f,Freiheit
f,Freizeit
f,Gegend
f,Kritik
m,Partner
m,See
f,See
m,Typ
n,Ereignis
f,Kontrolle
n,Objekt
n,Opfer
m,Sprecher
m,Arbeitsplatz
f,Aufnahme
f,Fähigkeit
f,Karte
m,Urlaub
f,Verantwortung
f,Wahrheit
n,Gebäude
m,Gesellschafter
n,Jahrzehnt
m,Norden/Nord
n,Ohr
f,Prüfung
f,Regelung
n,Schiff
f,Ausstellung
m,Bezug
f,Bitte
f,Hoffnung
m,Band
f,Band
n,Band
m,Bericht
f,Einstellung
n,Gericht
m,Gewinn
m,König
m,Sieg
f,Tat
m,Traum
f,Union
m,Besucher
m,Bund
m,Direktor
f,Geographie
m,Hintergrund
f,Qualität
m,Rand
f,Vergangenheit
m,Abschnitt
m,Bauer
f,Ehe
f,Ursache
m,Verlust
m,Winter
m,Zuschauer
f,Anzahl
f,Insel
n,Instrument
f,Nachricht
f,Pflanzen
f,Störung
m,Vertreter
m,Vorschlag
m,Zentimeter
m,Abstand
f,Bildung
f,Eigenschaft
f,Generation
m,Leiter
f,Leiter
m,Abschluss
n,Blatt
m,Geist
n,Interview
n,Semester
m,Stand
f,Tradition
f,Anlage
f,Behörde
f,Bühne
f,Dame
n,Element
f,Gelegenheit
m,Hof
f,Kommunikation
f,Mama
n,Museum
f,Nutzung
f,Basis
f,Ecke
m,Herbst
n,Kriterium
m,Terror
n,Verständnis
f,Zusammenarbeit
f,Ansicht
f,Auseinandersetzung
f,Bahn
f,Bürgermeister
f,Definition
n,Flugzeug
n,Foto
f,Masse
f,Nation
f,Phase
m,Stein
m,Ton
f,Veranstaltung
f,Änderung
f,Ausnahme
m,Bau
n,Hobby
m,Kaffee
m,Konflikt
f,Leitung
f,Lust
f,Mehrheit
m,Nachmittag
f,Rechnung
n,Schloss
f,Aktivität
n,Dach
n,Fest
m,Kandidat
f,Landschaft
f,Mannschaft
f,Mauer
f,Runde
m,Stern
m,Experte
f,Gestalt
m,Laden
m,Meister
f,Stellung
m,Zugang
f,Branche
f,Figur
m,Frieden
f,Industrie
m,Umgang
m,Vorgang
n,Wachstum
n,Büro
f,Darstellung
m,Fußball
f,Gewalt
f,Institution
f,Katze
m,Konzern
n,Lager
f,Lehre
n,Pferd
m,Rat
m,Schatten
f,Spitze
f,Strecke
f,Szene
f,Weltmeisterschaft
n,Blut
f,Dauer
n,Feuer
n,Gymnasium
f,Konsequenz
f,Nase
m,Stuhl
m,Süden/Süd
n,Tor
m,Verband
f,Aktie
f,Aktion
m,Anlass
f,Ausgabe
m,Ausländer
n,Bundesland
m,Club
m,Fluss
f,Führung
f,Geschwindigkeit
n,Gut
f,Medizin
m,Nachbar
f,Software
f,Stufe
n,Telefon
m,Terrorismus
m,Trainer
m,Zweifel
f,Anforderung
n,Bad
f,Belastung
m,Bus
m,Effekt
f,Messe
m,Umfang
f,Vorschrift
n,Fahrrad
f,Kommission
n,Krankenhaus
m,Mangel
m,Richter
m,Terrorist
n,Urteil
m,Anbieter
f,Decke
m,Fisch
n,Fleisch
f,Jugend
m,Schmerz
f,Schuld
f,Stimmung
f,Tasche
m,Wein
f,Welle
m,Wettbewerb
n,Wetter
f,Alternative
f,Auswirkung
n,Bedürfnis
f,Haltung
m,Leser
f,Tante
f,Temperatur
f,Waffe
f,Ware
f,Ahnung
f,Brust
f,Einführung
f,Fahrt
f,Förderung
n,Kleid
f,Koalition
f,Länge
n,Loch
m,Manager
f,Quelle
m,Regen
f,Religion
m,Spieler
f,Summe
m,Termin
m,Test
m,Tourist
m,Umsatz
n,Vertrauen
f,Verwendung
m,Vorwurf
m,Wissenschaftler
n,Bier
f,Bundesregierung
n,Konzert
f,Krise
f,Landwirtschaft
n,Leid
n,Lied
n,Merkmal
n,Parlament
f,Pause
f,Perspektive
n,Phänomen
f,Realität
f,Suche
m,Weltkrieg
m,Arbeitgeber
m,Aufbau
f,Bestimmungen
f,Botschaft
n,Brot
f,Flasche
f,Formel
m,Fortschritt
m,Geburtstag
f,Gegenwart
f,Hauptstadt
f,Mühe
f,Nachfrage
f,Pflicht
m,Studiengang
m,Teilnehmer
m,Wille
f,Debatte
f,Fremdsprache
m,Gegner
f,Hinsicht
m,Käufer
n,Kilogramm
f,Verwaltung
f,Weile
f,Adresse
m,Betrag
m,Hals
f,Heimat
m,Kauf
n,Kino
f,Konkurrenz
f,Mathematik
f,Schicht
m,Schwerpunkt
m,Streit
f,Verhandlung
m,Ablauf
m,Arbeitnehmer
n,Drittel
m,Erwachsene
f,Erwachsene
m,Fahrer
n,Gegenteil
f,Gemeinschaft
f,Gewerkschaft
m,Handel
m,Kanzler
n,Management
m,Millimeter
m,Minister
m,Nachteil
f,Platte
m,Sitz
m,Start
f,Tabelle
m,Tourismus
m,Verdacht
m,Vogel
m,Widerstand
m,Beamte
f,Beamte
f,Investition
f,Planung
m,Polizist
m,Schriftsteller
f,Stärke
f,Steuer
n,Steuer
f,Therapie
f,Überlegung
m,Verkehr
f,Verletzung
m,Abgeordnete
f,Abgeordnete
m,Anschluss
f,Armee
f,Atmosphäre
f,Auswahl
f,Beschreibung
n,Boot
f,Einnahmen
f,Erkrankung
f,Fläche
m,Flughafen
n,Gehirn
f,Gesundheit
m,Park
m,PC
f,Physik
f,Post
f,Saison
f,Stirn
f,Strategie
m,Wechsel
m,Alltag
m,Auftritt
m,Bahnhof
m,Bundeskanzler
f,Demokratie
f,Erwartung
n,Fahrzeug
f,Fotografie
m,Hersteller
n,Holz
n,Knie
f,Kombination
f,Liste
n,Niveau
m,Pfarrer
n,Schicksal
f,Schrift
m,Standort
m,Verlag
m,Zeltraum
f,Abteilung
m,Beweis
n,Detail
f,Dimension
m,Forscher
f,Integration
f,Kasse
f,Kategorie
m,Organismus
n,Radio
m,Unfall
f,Verbesserung
f,Verpflichtung
n,Abitur
m,Bedarf
f,Beratung
f,Beschäftigung
f,Betrachtung
n,Frühjahr
n,Gewicht
m,Journalist
f,Kompetenz
n,Lebensmittel
m,Mittelpunkt
m,Spiegel
m,Strand
f,Treppe
n,Vermögen
n,Wesen
f,Arbeitslosigkeit
f,Beobachtung
m,Bestandteil
f,Beteiligung
f,Bewertung
f,Bezeichnung
f,Brücke
f,CD
m,Gebrauch
m,Geschäftsführer
f,Lippe
m,Ministerpräsident
m,Nutzen
m,Ruf
n,Signal
m,Standard
m,Start
f,Substanz
f,Taste
n,Teilchen
f,Versicherung
f,Vorbereitung
m,Vordergrund
m,Anwalt
n,Experiment
m,Glauben
m,Grundsatz
f,Komponente
f,Oberfläche
n,Reich
n,Rennen
m,Schlag
m,Schuh
n,Seminar
f,Sendung
f,Spannung
f,Technologie
f,Truppe
n,Umfeld
m,Verbraucher
m,Verkauf
n,Viertel
n,Vorjahr
f,Bilanz
n,Erlebnis
n,Grundstück
f,Identität
f,Kamera
m,Kanal
f,Karriere
m,Kredit
n,Quartal
n,Rad
m,Rechner
m,Schlaf
m,Sender
n,Tal
f,Tiefe
n,TV
m,Verlauf
f,Zigarette
m,Aktionär
m,Atem
f,Auffassung
m,Bewohner
m,Charakter
n,Einkommen
f,Erziehung
f,Geburt
f,Halle
f,Herausforderung
f,Informationstechnologie
m,Mittag
f,Niederlage
f,Norm
f,Reform
n,Restaurant
m,Schauspieler
m,Schnee
f,Schülerin
m,Service
f,Sitzung
m,Sturm
f,Träne
f,Trauer
m,Vorstand
m,Zufall
f,Zustimmung
m,Angehörige
f,Angehörige
f,Annahme
n,Argument
n,Arzneimittel
m,Außenminister
m,Benutzer
m,Bescheid
f,Blume
f,Bundeswehr
f,Disziplin
f,Existenz
f,Fraktion
n,Grundgesetz
m,Händler
m,Hinblick
n,Individuum
f,Katastrophe
n,Motiv
m,Musiker
f,Opposition
m,Papa
n,Personal
m,Sand
f,Station
f,Tendenz
n,Training
f,Umsetzung
m,Verkäufer
f,Versorgung
m,Wandel
n,Wunder
f,Angelegenheit
f,Auskunft
n,Ausmaß
f,Begründung
n,Engagement
f,Entfernung
m,Fleck
f,Handlung
n,Immunsystem
m,Koffer
f,Not
f,Persönlichkeit
m,Schlüssel
m,Schreibtisch
f,Seele
m,Unternehmer
f,Unternehmung
f,Vereinbarung
n,Video
f,Wahrnehmung
m,Angestellte
f,Angestellte
f,Äußerung
f,Begegnung
n,Café
f,Datei
f,Dienstleistung
f,Erzählung
f,Ferne
n,Gedicht
f,Gründung
m,Keller
n,Konto
f,Operation
f,Qualifikation
f,Sammlung
f,Tonne
m,Träger
m,Trend
f,Variante
m,Verwandte
f,Verwandte
f,Vielfalt
f,Vielzahl
f,Zahlung
m,Arbeiter
m,Aufwand
f,Aufwendungen
m,Bauch
f,Berechnung
m,Bestandteil
n,Entwicklungsland
m,Entwurf
f,Fachhochschule
m,Fernseher
f,Finanzierung
f,Hose
m,Impuls
n,Kapital
m,Kern
m,Motor
m,Rang
m,Regisseur
f,Republik
n,Salz
m,Stil
f,Vermittlung
m,Wahlkampf
f,Wolke
m,Zahn
f,Anstrengung
f,Behinderung
f,Berücksichtigung
m,Bord
m,Dichter
m,Eingriff
m,Einwohner
m,Fan
f,Hütte
f,Kooperation
f,Stasi
n,Symbol
m,Täter
f,Tour
f,Trennung
f,Übertragung
f,Verfassung
f,Zeitschrift
f,Absicht
m,Architekt
f,Aufmerksamkeit
m,Beschluss
f,Bibel
f,Bindung
f,Börse
n,Business
m,Ehegatte
f,Einschätzung
n,Elektron
f,Entstehung
f,Erweiterung
m,Feind
f,Flucht
m,Flüchtling
n,Geschlecht
n,Gewissen
m,Gläubiger
m,Griff
m,Halt
n,Hemd
f,Infektion
m,Kindergarten
n,Klima
m,Kontinent
f,Kündigung
m,Mantel
n,Marketing
m,Mister
m,Mut
f,Nebenwirkung
f,Oper
n,Orchester
n,Paket
f,Ressource
f,Revolution
f,Richtlinie
f,Rückkehr
f,Scheibe
f,Stille
m,Stress
f,These
m,Transport
m,Übergang
n,Vorbild
n,Vorgehen
m,Widerspruch
f,Wüste
m,Alkohol
f,Anerkennung
m,Aufenthalt
f,Aussicht
m,Ball
f,Bemerkung
m,Besitz
f,Chemie
f,Distanz
n,Ei
f,Frist
n,Geschenk
f,Gestaltung
n,Heim
m,Höhepunkt
m,Horizont
f,Konferenz
n,Kreuz
f,Notwendigkeit
n,Organ
f,Presse
f,Rechtsprechung
n,Regal
m,Ring
f,Übung
m,Vortrag
f,Zeile
f,Ausführung
m,Besitzer
n,Center
m,Eingang
f,Erscheinung
f,Ferien
m,Flug
f,Fragestellung
f,Freundschaft
n,Frühstück
n,Gehalt
m,Gehalt
n,Geheimnis
n,Geräusch
m,Geschmack
n,Gold
m,Hafen
m,Hut
f,Hut
f,Interpretation
f,Klage
f,Klinik
f,Lehrerin
f,Marke
n,Medikament
f,Miete
n,Öl
m,Pass
f,Phantasie
f,Prognose
n,Protein
n,Protokoll
m,Schreck
f,Serie
m,Tee
m,Turm
f,Überzeugung
f,Vorgabe
n,Weihnachten
f,Weihnachten
f,Wende
f,Abhängigkeit
m,Arbeitsmarkt
m,Ärger
m,Austausch
f,Betreuung
f,Bombe
m,Dialog
f,E-Mail
n,E-Mail
f,Entschuldigung
f,Erhöhung
n,Gas
n,Gen
f,Hitze
f,Kindheit
n,Klavier
f,Konzentration
m,Leib
m,Maler
f,Menschheit
f,Milch
m,Mord
m,Pilot
n,Resultat
m,Riese
m,Stock
f,Strafe
m,Übersetzer
n,Ufer
f,Umfrage
n,Baby
n,City
f,Differenz
f,Dunkelheit
n,Dutzend
n,Eis
m,Empfang
m,Empfänger
f,Ernährung
m,Gesichtspunkt
f,Großmutter
f,Herkunft
f,Hochzeit
m,Hunger
f,Konjunktur
m,Konkurrent
f,Last
n,Lebensjahr
n,Medium
f,Mischung
n,Muster
m,Nachfolger
f,Note
m,Onkel
n,Potenzial
m,Protest
m,Reiz
m,Rohstoff
m,Sachverhalt
m,Schuss
f,Sicherung
m,Sieger
f,Statistik
f,Strahlung
n,Taxi
n,Turnier
f,Übernahme
f,Verarbeitung
f,Veröffentlichung
f,Verteilung
f,Wiedervereinigung
m,Witz
m,Abschied
f,Benutzung
f,Beurteilung
m,Bewerber
n,Defizit
f,Einschränkung
f,Ermittlung
m,Ertrag
m,Flur
n,Format
m,Held
f,Herstellung
m,Kaiser
f,Kammer
f,Kette
f,Kleidung
f,Kneipe
m,Kritiker
f,Küste
n,Messer
f,Messung
n,Motto
m,Nutzer
m,Passagier
f,Premiere
f,Probe
m,Quadratmeter
m,Saal
f,Schwäche
m,Sektor
m,Sprung
n,Symptom
n,Tennis
n,Top
n,Tuch
f,Überraschung
f,Übersetzung
f,Verbreitung
n,Virus
n,Vorhaben
f,Vorlage
f,Wärme
f,Werbung
f,Wiese
n,Zelt
m,Anhänger
f,Anzeige
f,Aufklärung
f,Auflösung
f,Bestellung
m,Bude
n,Bündnis
f,Burg
m,Dialekt
f,Durchführung
f,Einigung
f,Einsicht
n,Gedächtnis
n,Gefängnis
f,Gleichung
f,Herrschaft
f,Infrastruktur
m,Katalog
f,Meldung
f,Mission
f,Mitteilung
f,Nahrung
m,Nebel
m,Offizier
f,Oma
f,Philosophie
f,Realisierung
m,Schein
m,Schnitt
f,Schnittstelle
f,Schulden
f,Sehnsucht
m,Skandal
n,Stadion
m,Tipp
n,Wiedersehen
f,Wunde
f,Wurzel
f,Zeuge
n,Zeugnis
m,Anblick
n,Anliegen
f,Anpassung
m,Anstieg
n,Arbeitsamt
m,Befehl
f,Bereitschaft
f,Beschwerde
m,Bogen
f,Bundesliga
f,Droge
f,Ehre
n,Eigentum
m,Einzelfall
f,Epoche
m,Erreger
f,Feststellung
f,Formulierung
n,Gelände
m,Geliebte
f,Geliebte
f,Geschwister
n,Gramm
f,Inszenierung
m,Kapitän
f,Kiste
m,Knochen
m,Kontext
n,Kunstwerk
n,Lebewesen
m,Lastkraftwagen
m,Lohn
m,Magen
f,Mode
m,Mörder
f,Öffnung
f,Partie
n,Rathaus
f,Reflexion
f,Rente
f,Show
f,Stiftung
m,Teller
f,Unterscheidung
f,Version
m,Wähler
f,Wechselwirkung
m,Zettel
m,Zins
f,Zone
m,Abbau
f,Agentur
f,Akademie
f,Anfrage
f,Aufführung
f,Auflage
m,Ausbau
m,Bär
n,Bedenken
m,Buchstabe
n,Dokument
f,Einzelheit
f,Erfüllung
m,Führer
f,Fusion
m,Geruch
n,Gleichgewicht
m,Investor
m,Kerl
f,Kollegin
m,Komponist
f,Kurve
n,Labor
m,Landkreis
n,Märchen
n,Mittelalter
n,Möbel
f,Moderne
m,Nerv
m,Ofen
f,Pflege
f,Plattform
m,Posten
m,Profi
n,Regime
m,Rock
m,Rücktritt
m,Schrank
f,Sekretärin
f,Solidarität
m,Sportler
f,Stabilität
m,Status
m,Staub
m,Tanz
m,Topf
m,Überblick
f,Unsicherheit
m,Vorhang
m,Winkel
n,Zitat
n,Abenteuer
f,Abgrenzung
m,Akt
m,Akteur
f,Allianz
f,Armut
m,Ausgleich
f,Begeisterung
m,Bezirk
f,Diagnose
n,Dunkel
m,Durchmesser
f,Einladung
f,Empfehlung
f,Eröffnung
m,Felsen
f,Flüssigkeit
n,Fräulein
m,Friedhof
f,Front
f,Fülle
n,Gebirge
n,Geschäftsjahr
n,Gras
f,Großstadt
m,Hang
m,Hügel
m,Ingenieur
m,Kongress
m,Muskel
m,Nachweis
f,Orientierung
m,Personenkraftwagen
m,Rhythmus
f,Rücksicht
m,Senat
f,Steuerung
m,Stolz
f,Teilnahme
n,Universum
f,Unterhaltung
f,Unterlagen
f,Vereinigung
f,Vertretung
f,Volkshochschule
f,Vorsicht
f,Wahrscheinlichkeit
f,Wange
n,Werkzeug
f,Zeichnung
f,Zunahme
f,Zwiebel
f,Ablehnung
f,Abstimmung
f,Anordnung
f,Anregung
m,Aufsatz
m,Backofen
f,Bakterie
m,Befund
f,Bemühung
m,Beobachter
m,Berater
m,Betrachter
n,Betriebssystem
m,Bildschirm
f,Blüte
f,Brille
f,Datenverarbeitung
m,Eigentümer
f,Eintragung
n,Ensemble
f,Enttäuschung
f,Faust
n,Festival
f,Galerie
n,Gemüse
f,Genehmigung
m,Großvater
f,Grundschule
m,Hass
f,Höhle
f,Innenstadt
n,Kloster
f,Kohle
m,Konsument
m,Lärm
m,Liter
n,Lokal
f,Malerei
m,Maßstab
f,Materie
f,Münze
n,Netzwerk
n,Praktikum
m,Rückgang
m,Sack
m,Schuldner
f,Sportart
m,Stamm
m,Streifen
f,Tasse
m,Teppich
m,Teufel
f,Überprüfung
m,Unsinn
n,Verbot
f,Vermutung
f,Versammlung
f,Wäsche
f,Werkstatt
f,Wirtschaftspolitik
n,Zeug
f,Zunge
m,Zwang
n,Antibiotikum
f,Anweisung
m,Anzug
f,Architektur
n,Atom
m,Aufstieg
m,Ausflug
m,Ausgang
f,Ausstattung
f,Bearbeitung
f,Besonderheit
m,Betracht
f,Biologie
f,Breite
f,Butter
m,Champion
f,Differenzierung
m,Dirigent
f,Entdeckung
f,Erfindung
m,Ersatz
f,Feuerwehr
n,Fieber
f,Fluggesellschaft
f,Gebühr
n,Gepäck
n,Gerücht
m,Gesetzgeber
f,Gliederung
n,Grab
m,Grenzwert
n,Handwerk
n,Heft
m,Helfer
f,Intelligenz
m,Jäger
f,Kartoffel
m,Käse
m,Klang
m,Kompromiss
f,Königin
f,Konstruktion
m,Kreislauf
f,Kugel
f,Kuh
f,Leiche
f,Leidenschaft
f,Leistungsfähigkeit
f,Lieferung
f,Liga
n,Milligramm
m,Nachwuchs
m,Nacken
n,Olympia
m,Parteitag
f,Party
m,Planet
m,Priester
f,Problematik
f,Rezession
m,Salon
f,Schauspielerin
f,Schwangerschaft
m,Schweiß
f,Skala
f,Spalte
n,Spektrum
f,Steckdose
f,Tafel
n,Tagebuch
n,Talent
n,Tempo
f,Unruhe
f,Unterschrift
m,Ursprung
n,Verbrechen
n,Vergnügen
f,Verhaltensweise
m,Vermieter
f,Vernunft
f,Verordnung
f,Villa
m,Vormittag
n,Wohnzimmer
f,Zerstörung
m,Zinssatz
f,Zulassung
f,Zusammensetzung
f,Abschreibung
f,Achse
f,Anwesenheit
f,Aufregung
f,Autobahn
f,Batterie
n,Chaos
f,Chefin
m,Chip
m,Chor
n,Design
m,Dolmetscher
m,Durchschnitt
n,Ehepaar
m,Einbruch
m,Eintritt
f,Erholung
m,Europäer
f,Fabrik
f,Furcht
f,Geduld
m,General
n,Getränk
n,Gewehr
n,Glied
m,Graf
n,Gremium
f,Gunst
n,Gutachten
m,Handwerker
f,Haustür
f,Hypothese
f,Kassette
m,Kasten
m,Kommentar
f,Konzeption
f,Kreativität
n,Magazin
m,Marktanteil
f,Maus
n,Menschenrecht
m,Mieter
n,Militär
f,Minderheit
n,Ministerium
m,Mythos
f,Naturwissenschaft
m,Parkplatz
f,Partnerschaft
f,Periode
n,Präparat
f,Provinz
f,Rahmenbedingung
m,Regierungschef
f,Säule
f,Scheidung
f,Schönheit
m,Spezialist
f,Steigerung
m,Stellvertreter
f,Subvention
n,Ticket
m,Tunnel
f,Übersicht
f,Uniform
n,Unrecht
n,Vitamin
f,Volkswirtschaft
f,Vorlesung
f,Weiterbildung
f,Zielsetzung
m,Zucker
n,Abkommen
m,Absolvent
f,Abwehr
m,Apfel
f,Arbeitskraft
m,Assistent
f,Auswertung
f,Bar
f,Bedrohung
f,Bekämpfung
f,Beschränkung
m,Block
n,Darlehen
n,Datum
f,Erhaltung
m,Erzähler
m,Fachbereich
f,Fachleute
f,Fakten
f,Fassung
m,Flügel
n,Forum
f,Frequenz
f,Frucht
f,Gerechtigkeit
m,Gipfel
m,Großteil
m,Hörer
n,Industrieland
f,Jacke
f,Jagd
f,Jahreszeit
f,Lampe
f,Linse
f,Lücke
n,Metall
m,Missbrauch
f,Motivation
f,Option
m,Ordner
m,Ozean
m,Physiker
f,Pistole
f,Reichweite
f,Reparatur
m,Respekt
f,Rose
m,Rucksack
m,Sänger
f,Tablette
f,Tageszeitung
m,Therapeut
m,Umzug
m,Veranstalter
f,Verknüpfung
n,Vorfeld
m,Vorgänger
f,Währung
m,Weltmeister
f,Wut
f,Zuordnung
m,Zuwachs
m,Abfall
f,Akte
f,Anleihe
f,Arbeitszeit
m,Aufsichtsrat
m,Ausgangspunkt
f,Ausrichtung
m,Ausweis
f,Beachtung
n,Diplom
m,Einblick
m,Engel
f,Erfassung
f,Fahne
f,Fakultät
f,Fassade
f,Feier
m,Frühling
m,Gemeinderat
n,Gewebe
m,Gruß
m,Jurist
f,Kerze
m,Koch
f,Kommune
f,Koralle
f,Krankenkasse
m,Kunststoff
f,Landesregierung
f,Laune
n,Nahrungsmittel
m,Philosoph
m,Prinz
n,Profil
f,Relation
n,Riff
f,Schlange
n,Schwein
f,Selbstständigkeit
f,Siedlung
m,Spruch
f,Stellungnahme
m,Strahl
f,Strömung
f,Verbindlichkeit
n,Volumen
m,Zugriff
m,Zuhörer
